A_T,A_Ax,A_Ay,A_Az,A_Gx,A_Gy,A_Gz,B_T,B_Ax,B_Ay,B_Az,B_Gx,B_Gy,B_Gz,angle
45.95,0.552246094,-0.451171875,-0.709960938,3.597560883,0.853658557,4.817073345,45.95,-0.640625,0.62890625,-0.433105469,4.51219511,-1.463414669,5.304878235,150
46,0.552246094,-0.430664063,-0.696777344,-6.036585331,-1.585365891,2.743902445,46,-0.6640625,0.6015625,-0.4140625,2.804877996,-1.585365891,1.829268336,150
46.05,0.542480469,-0.4296875,-0.702148438,-0.243902445,-2.621951103,2.682926893,46.05,-0.645019531,0.610839844,-0.408691406,2.560975552,-0.426829278,0.731707335,150
46.1,0.544921875,-0.413085938,-0.689941406,-4.817073345,-0.548780501,-1.097561002,46.1,-0.673828125,0.603515625,-0.422363281,2.804877996,-0.182926834,-2.378048897,150
46.15,0.551269531,-0.422363281,-0.693359375,-3.841463327,0.304878056,-3.292682886,46.15,-0.651855469,0.604980469,-0.418945313,0.060975611,-0.426829278,-4.207316875,150
46.2,0.536621094,-0.420410156,-0.705078125,-5.853658676,1.646341443,-6.341463566,46.2,-0.680175781,0.598144531,-0.427246094,-0.121951222,-1.036585331,-6.585365772,150
46.25,0.549316406,-0.426757813,-0.724609375,-0.182926834,-0.182926834,-8.780488014,46.25,-0.658691406,0.616699219,-0.4296875,1.341463447,0.853658557,-8.658536911,150
46.3,0.553710938,-0.4296875,-0.739746094,1.646341443,-3.353658438,-10.85365868,46.3,-0.682617188,0.588378906,-0.421875,-0.182926834,1.097561002,-9.756097794,150
46.35,0.557617188,-0.428710938,-0.745117188,2.378048897,-6.158536434,-12.6219511,46.35,-0.686523438,0.608398438,-0.444824219,-1.341463447,5.548780441,-10.67073154,150
46.4,0.556152344,-0.427734375,-0.737792969,-2.073170662,-8.597560883,-12.3780489,46.4,-0.688964844,0.571777344,-0.435058594,-3.170731783,6.280488014,-13.59756088,150
46.45,0.572265625,-0.40625,-0.724609375,-0.914634168,-9.268292427,-13.29268265,46.45,-0.707519531,0.581054688,-0.430175781,-7.560975552,10.85365868,-13.53658581,150
46.5,0.582519531,-0.407226563,-0.727050781,-2.926829338,-11.28048801,-13.59756088,46.5,-0.692871094,0.581054688,-0.409667969,-8.719511986,12.31707287,-15,150
46.55,0.58203125,-0.386230469,-0.708984375,2.743902445,-12.19512177,-15.24390221,46.55,-0.723144531,0.582519531,-0.407714844,-8.292682648,13.71951199,-16.64634132,150
46.6,0.576660156,-0.401855469,-0.712402344,1.280487776,-12.80487823,-14.63414669,46.6,-0.706542969,0.575683594,-0.411132813,-4.939024448,11.21951199,-17.68292618,150
46.65,0.562011719,-0.392578125,-0.709472656,4.207316875,-9.63414669,-15.30487823,46.65,-0.718261719,0.553222656,-0.456054688,-2.195122004,8.414633751,-16.46341515,150
46.7,0.5546875,-0.396972656,-0.724609375,4.817073345,-7.195121765,-13.41463375,46.7,-0.7265625,0.516113281,-0.444335938,-4.390244007,7.804878235,-12.19512177,150
46.75,0.571777344,-0.359863281,-0.737304688,6.646341324,-7.256097794,-12.98780441,46.75,-0.729980469,0.527832031,-0.432617188,-7.682926655,10.42682934,-10.79268265,150
46.8,0.5546875,-0.359375,-0.746582031,3.353658438,-10.30487823,-12.01219559,46.8,-0.715332031,0.524414063,-0.416992188,-6.524390221,8.475609779,-9.695121765,150
46.85,0.553710938,-0.340332031,-0.73046875,5.792683125,-10.85365868,-13.41463375,46.85,-0.728027344,0.495605469,-0.4453125,-3.963414669,7.743902206,-13.10975647,150
46.9,0.559082031,-0.354003906,-0.740722656,3.963414669,-7.865853786,-13.35365868,46.9,-0.743652344,0.497558594,-0.449707031,-8.10975647,8.597560883,-9.878048897,150
46.95,0.543945313,-0.333496094,-0.734863281,3.658536673,-5.731707096,-13.90243912,46.95,-0.734375,0.491699219,-0.447753906,-7.621951103,7.621951103,-9.512195587,150
47,0.559082031,-0.326660156,-0.746582031,12.25609779,-6.158536434,-15.42682934,47,-0.731445313,0.491210938,-0.439453125,-6.768292904,6.829268456,-9.939023972,150
47.05,0.5546875,-0.336425781,-0.752441406,7.439024448,-5.914634228,-15.97560978,47.05,-0.747070313,0.458007813,-0.448730469,-10.06097603,6.524390221,-6.646341324,150
47.1,0.555175781,-0.342285156,-0.762695313,4.024390221,-6.219511986,-13.53658581,47.1,-0.750976563,0.485839844,-0.442382813,-14.63414669,8.597560883,-7.073170662,150
47.15,0.555175781,-0.322265625,-0.756347656,2.439024448,-8.10975647,-13.78048801,47.15,-0.737304688,0.481933594,-0.433105469,-10.97560978,8.902439117,-11.70731735,150
47.2,0.558105469,-0.334960938,-0.763183594,5.853658676,-7.743902206,-13.78048801,47.2,-0.763671875,0.479492188,-0.452148438,-9.756097794,6.768292904,-9.878048897,150
